Member_number,Recency,Frequency,Monetary
2221,13,6,83.42
2222,3,19,170.95000000000002
2225,247,10,82.5
2226,297,13,108.10000000000001
2227,194,5,27.7
2228,215,4,45.66
2229,9,22,210.51000000000002
2230,217,18,195.9
2231,28,15,109.2
2232,239,14,155.7
2233,125,9,86.05
2234,7,21,166.0
2235,67,13,113.35
2236,331,14,119.72
2237,325,9,89.6
2238,25,13,105.3
2239,18,12,69.41
2240,30,12,81.54
2241,74,9,78.9
2242,209,12,87.82000000000001
2243,107,10,74.9
2244,277,15,141.8
2245,230,8,98.56
2246,124,5,108.30000000000001
2247,214,11,68.15
2248,289,2,4.4
2249,216,4,55.1
2250,77,8,73.4
2251,191,16,205.0
2252,84,21,134.57
2253,163,6,34.3
2254,341,12,135.70000000000002
2255,13,12,105.85
2256,132,9,85.35000000000001
2257,230,8,64.9
2258,438,7,33.3
2259,563,7,29.75
2260,62,8,62.75
2261,185,13,65.5
2262,57,10,108.95
2263,182,2,39.9
2264,353,8,59.199999999999996
2265,97,14,93.85
2266,92,9,86.3
2267,50,15,161.4
2269,102,6,81.9
2270,92,22,222.4
2271,41,31,241.8
2272,117,13,142.0
2273,34,14,89.0
2274,360,11,79.34
2275,151,4,33.32
2276,354,7,58.7
2277,347,7,89.46
2278,143,6,42.84
2279,401,8,90.60000000000001
2280,354,4,35.5
2281,65,2,53.7
2282,234,3,57.599999999999994
2283,347,7,38.42
2284,288,13,131.4
2285,15,4,26.2
2286,27,6,99.9
2287,15,8,84.2
2288,214,12,83.12
2289,57,16,137.84
2290,112,11,94.2
2291,102,12,97.85000000000001
2292,281,2,12.4
2293,12,19,140.56
2294,99,23,205.6
2295,3,10,47.9
2296,567,2,5.35
2297,305,2,5.92
2298,86,20,166.8
2299,51,8,73.47
2300,103,10,107.30000000000001
2301,7,9,39.35
2302,701,2,6.0
2303,519,6,122.6
2304,183,2,6.4
2305,94,7,102.34
2306,83,13,93.54
2307,185,11,121.62
2308,477,6,28.6
2309,2,12,64.07000000000001
2310,282,16,137.68
2311,60,18,127.7
2312,230,9,74.5
2313,316,5,38.54
2314,36,10,67.3
2315,11,14,128.42000000000002
2316,206,6,83.16
2318,349,6,33.7
2319,235,7,84.5
2320,388,10,110.9
2321,198,13,121.2
2322,684,4,24.8
2323,369,6,52.300000000000004
2324,135,6,41.6
2325,259,15,110.58
2326,32,9,57.300000000000004
2327,23,10,78.0
2328,312,7,69.7
2329,169,4,30.3
2330,421,4,17.4
2331,33,13,82.22
2332,16,13,97.8
2334,669,5,27.000000000000004
2335,161,5,30.2
2336,85,11,120.84
2337,138,13,105.80000000000001
2338,23,11,121.2
2339,590,10,110.0
2340,33,18,134.4
2341,374,10,115.02000000000001
2342,377,4,26.3
2343,215,9,37.1
2344,14,25,230.0
2345,14,10,51.5
2346,105,15,191.9
2347,338,4,33.3
2348,20,18,158.91
2349,167,16,116.32
2350,580,4,10.5
2351,359,6,62.64000000000001
2352,240,6,53.089999999999996
2353,243,9,50.7
2354,498,6,15.3
2355,160,12,89.7
2356,122,14,129.0
2357,99,20,165.85
2358,16,9,111.16
2359,125,13,101.62
2360,316,6,73.3
2361,89,10,59.9
2362,38,14,105.75
2363,67,11,156.6
2364,114,15,106.30000000000001
2365,193,17,158.6
2366,135,13,71.5
2368,50,8,53.8
2369,75,8,143.5
2370,110,19,178.26
2371,123,6,56.6
2372,119,6,19.6
2373,496,2,10.100000000000001
2374,191,14,154.3
2375,22,11,138.6
2376,217,8,93.0
2377,259,5,35.0
2378,260,4,49.0
2379,103,6,78.50000000000001
2380,83,16,177.75
2381,228,19,165.02
2383,87,12,147.29000000000002
2384,363,6,32.6
2386,26,12,83.0
2387,660,2,8.1
2388,407,8,60.62
2389,48,16,166.19
2390,132,14,51.56
2391,26,15,100.4
2392,16,7,50.800000000000004
2393,258,14,98.1
2394,39,29,221.0
2395,409,5,107.60000000000001
2396,497,11,79.85
2397,88,6,51.94
2398,357,7,26.2
2399,322,11,139.3
2400,284,12,154.15
2401,12,10,111.3
2402,116,10,66.83
2403,30,13,142.10000000000002
2404,77,11,81.3
2406,24,17,110.96000000000001
2407,296,10,76.3
2408,113,21,189.93
2410,40,11,78.0
2411,619,6,48.400000000000006
2412,293,7,71.30000000000001
2413,18,14,86.64999999999999
2414,575,2,21.0
2415,145,14,133.9
2416,56,9,81.6
2417,423,2,11.4
2419,131,9,93.80000000000001
2420,95,10,70.0
2421,39,21,150.3
2422,50,11,62.4
2423,518,4,34.8
2424,459,6,68.10000000000001
2425,314,4,9.1
2426,114,17,203.5
2427,188,9,46.15
2428,132,17,85.45
2429,185,4,33.96
2430,345,12,98.4
2431,65,13,82.97000000000001
2432,19,14,137.0
2433,4,31,375.31
2434,104,7,86.5
2435,93,12,157.05
2436,37,11,86.60000000000001
2437,46,15,134.7
2438,314,4,51.6
2439,61,10,92.33999999999999
2440,195,25,223.29
2441,181,15,73.92
2442,675,2,13.4
2443,46,21,241.70000000000002
2444,197,8,56.43
2445,428,8,87.60000000000001
2446,114,9,79.8
2447,3,21,204.0
2448,2,17,74.9
2449,176,8,85.60000000000001
2450,153,6,49.7
2451,459,7,30.65
2452,142,11,129.16
2453,10,15,114.69
2454,51,20,143.1
2455,361,4,45.7
2456,656,2,12.5
2457,383,6,23.0
2458,130,6,55.699999999999996
2459,100,13,100.7
2460,13,9,70.7
2461,88,5,38.3
2462,281,5,67.78
2463,5,6,19.2
2464,165,8,76.7
2465,4,11,124.30000000000001
2466,82,9,150.2
2467,85,12,86.8
2468,293,8,29.8
2469,99,13,104.8
2470,231,11,64.3
2471,140,9,57.300000000000004
2472,348,8,57.10000000000001
2473,183,6,26.400000000000002
2474,325,2,11.0
2475,51,14,126.8
2476,27,10,37.85
2477,210,7,26.9
2478,485,5,111.45000000000002
2479,352,10,40.05
2480,102,13,46.7
2481,37,6,74.75999999999999
2482,709,3,6.9
2483,64,8,75.5
2484,141,14,136.75
2485,227,7,46.45
2486,36,5,41.150000000000006
2487,175,4,18.1
2488,134,7,69.5
2489,9,10,62.42
2490,13,6,19.92
2492,51,21,210.64000000000001
2493,146,5,20.700000000000003
2494,119,17,135.8
2495,156,11,83.69999999999999
2496,29,8,99.36
2497,512,2,4.9
2499,39,15,159.22
2500,25,9,85.55
2501,113,4,23.0
2502,260,14,97.62
2503,326,2,63.9
2504,139,11,127.7
2505,31,11,76.9
2506,4,8,56.900000000000006
2507,1,13,125.60000000000001
2508,4,9,61.25000000000001
2509,169,8,105.1
2510,93,14,121.8
2511,170,21,202.74
2512,120,26,208.22
2513,16,12,80.30000000000001
2514,59,11,81.10000000000001
2515,162,12,96.28
2516,153,8,48.300000000000004
2517,19,27,256.25
2518,181,12,100.5
2519,211,14,99.7
2520,25,6,34.769999999999996
2521,17,10,70.19999999999999
2522,510,8,49.3
2523,180,15,130.06
2524,26,28,235.45
2525,45,11,97.54
2526,76,4,21.1
2527,142,5,53.099999999999994
2528,73,7,65.3
2530,123,11,77.54
2531,494,4,57.5
2532,178,12,90.75
2533,373,7,70.4
2534,53,14,123.52000000000001
2535,51,13,95.5
2536,54,7,59.30000000000001
2537,78,8,35.6
2538,157,7,43.2
2539,46,4,20.6
2540,301,17,132.70000000000002
2541,475,6,28.2
2542,37,8,71.0
2543,140,10,85.85
2544,336,9,74.60000000000001
2545,43,12,43.35
2546,238,5,37.8
2547,37,12,148.60000000000002
2548,6,10,63.45
2549,129,16,201.92
2550,8,16,163.14
2551,71,6,83.60000000000001
2552,360,13,119.52
2553,164,14,73.23
2555,8,16,196.8
2556,125,10,95.8
2557,69,6,58.400000000000006
2558,141,2,10.6
2559,430,6,72.7
2560,35,24,165.52
2561,134,9,74.85
2562,412,10,111.2
2563,2,14,98.55
2564,170,10,87.8
2565,94,12,75.74
2566,334,3,44.92
2567,527,2,22.400000000000002
2568,83,19,167.3
2569,168,7,91.1
2570,129,11,86.4
2571,167,8,76.10000000000001
2572,218,2,39.4
2573,362,16,157.4
2574,20,11,98.44
2575,293,4,74.2
2576,371,4,52.3
2577,67,8,29.450000000000003
2578,30,18,155.76
2579,267,6,92.3
2580,44,12,124.0
2581,17,12,99.85
2582,47,12,143.8
2583,280,5,67.5
2584,250,20,153.97
2585,292,10,35.4
2586,66,5,53.1
2587,212,13,84.25
2588,3,5,42.8
2589,246,19,99.44
2590,15,10,104.5
2591,386,4,6.6000000000000005
2592,91,16,141.94
2593,444,6,41.32
2594,224,8,49.300000000000004
2595,342,17,134.45
2597,138,15,125.25
2598,50,3,59.10000000000001
2599,39,15,160.1
2600,15,19,158.9
2601,70,19,197.0
2602,20,17,145.44
2603,551,4,31.86
2604,102,14,103.1
2605,488,6,33.35
2606,339,8,60.7
2607,406,4,19.3
2608,103,8,43.4
2609,127,5,22.6
2610,71,7,75.04
2611,367,7,38.35
2612,214,18,149.25
2613,130,17,75.45
2614,189,2,9.0
2615,581,4,27.2
2616,229,8,72.0
2617,223,16,126.85
2618,28,16,163.9
2619,372,7,43.56
2620,17,8,53.55
2621,460,4,25.200000000000003
2622,91,12,74.7
2623,82,9,65.5
2624,135,4,61.8
2625,43,31,243.06
2626,509,7,39.0
2627,61,8,42.2
2628,394,2,18.0
2629,25,19,178.54
2630,319,7,77.24
2631,95,7,30.5
2632,99,24,254.8
2633,34,16,102.2
2634,253,5,36.9
2635,105,6,67.2
2636,111,10,78.0
2637,469,4,12.9
2638,447,5,83.4
2639,49,8,61.1
2640,253,2,4.800000000000001
2641,305,12,96.1
2642,274,7,43.6
2643,30,12,86.55
2644,589,7,43.9
2645,187,19,157.6
2646,50,7,100.6
2648,53,13,152.7
2649,33,9,85.2
2650,39,16,193.70999999999998
2651,476,4,32.12
2652,5,13,116.69
2653,24,12,77.15
2654,36,19,145.3
2655,183,5,45.76
2656,15,10,105.10000000000001
2657,224,6,57.2
2658,76,7,26.9
2659,23,16,172.97
2660,476,4,86.2
2661,244,8,71.9
2662,391,6,33.4
2663,71,27,208.82
2664,102,8,62.900000000000006
2665,262,4,84.66000000000001
2666,17,16,110.55
2667,198,5,38.29
2668,395,2,4.2
2669,98,11,62.1
2670,246,6,47.1
2671,157,8,56.3
2672,35,12,121.8
2673,21,8,36.1
2674,484,6,41.7
2675,107,7,18.2
2676,54,14,129.9
2677,8,6,33.6
2678,33,11,99.05
2679,380,6,57.39
2680,142,8,70.10000000000001
2681,243,6,72.0
2682,30,11,49.2
2683,142,8,82.7
2684,354,3,7.5
2685,85,12,60.400000000000006
2686,376,4,27.0
2687,108,16,140.6
2688,39,13,100.10000000000001
2689,245,15,85.4
2690,57,17,185.5
2691,57,10,104.3
2692,83,10,125.6
2693,59,11,101.4
2694,37,19,161.76
2695,180,8,74.3
2696,120,11,76.0
2697,542,4,78.7
2698,341,8,61.8
2699,33,10,60.550000000000004
2700,46,9,114.88000000000001
2701,502,11,104.69
2702,218,9,69.3
2703,101,9,73.0
2704,43,6,39.8
2705,45,6,72.94
2706,89,23,260.9
2707,74,17,123.56
2708,317,6,79.5
2709,133,11,46.45
2710,78,4,19.5
2711,109,14,107.2
2712,96,13,67.54
2713,135,10,159.3
2714,291,2,36.7
2715,178,15,117.4
2716,99,16,192.1
2717,728,2,8.4
2718,202,20,170.72
2719,215,14,98.0
2720,553,2,14.9
2721,143,6,41.3
2722,413,4,22.1
2723,58,10,157.5
2724,245,6,81.2
2725,703,4,33.400000000000006
2726,396,8,69.92
2727,16,10,108.4
2728,33,5,50.4
2729,98,18,236.3
2730,51,11,107.11
2731,264,4,18.0
2732,273,10,68.9
2733,162,6,29.3
2734,276,3,29.14
2735,213,2,7.4
2736,5,23,267.4
2737,370,6,37.73
2738,52,21,220.0
2739,103,4,37.2
2740,182,4,53.8
2741,94,12,61.5
2742,82,9,49.85
2743,143,17,312.46000000000004
2744,226,8,69.5
2745,246,15,144.6
2746,216,15,167.14999999999998
2747,123,12,131.29999999999998
2748,638,2,20.400000000000002
2749,192,7,65.10000000000001
2750,108,8,62.949999999999996
2751,331,12,104.77
2752,82,2,24.700000000000003
2753,114,8,48.2
2754,243,10,82.1
2755,228,15,160.3
2756,38,10,97.89999999999999
2757,15,10,127.8
2758,42,20,212.9
2759,157,2,8.0
2760,145,23,135.4
2761,250,15,99.18
2762,13,9,82.35
2763,321,10,53.54
2764,3,13,92.75
2765,31,12,156.25
2766,134,7,75.2
2767,338,5,23.1
2768,364,7,52.1
2769,153,12,132.63
2770,169,5,37.5
2771,127,7,133.70000000000002
2772,27,16,237.2
2773,580,2,14.5
2774,64,7,27.96
2775,55,10,83.3
2776,596,4,25.14
2777,213,10,86.2
2778,550,9,37.59
2779,4,22,223.54999999999998
2780,81,6,66.2
2781,213,13,88.5
2782,205,9,70.7
2783,275,2,7.8
2784,48,13,133.95
2785,74,10,132.96
2786,281,7,71.30000000000001
2787,190,16,155.6
2788,119,9,36.6
2789,213,23,209.6
2790,1,8,80.5
2791,405,2,38.1
2792,68,15,92.9
2794,93,18,236.4
2795,239,12,74.0
2796,75,12,69.0
2797,110,5,50.7
2798,131,8,29.2
2799,112,21,161.70000000000002
2800,90,13,78.15
2801,447,8,22.35
2802,381,8,59.2
2803,431,11,96.62
2804,347,9,71.6
2805,123,11,77.85
2806,634,10,98.5
2807,181,11,63.2
2808,240,6,14.8
2809,265,6,69.35000000000001
2810,1,17,171.4
2811,311,20,305.71999999999997
2812,388,4,50.3
2813,45,16,110.2
2814,71,17,152.42000000000002
2815,112,8,101.8
2816,81,24,116.3
2817,9,10,98.80000000000001
2818,39,6,45.8
2820,402,2,24.2
2822,13,4,23.48
2823,440,5,63.300000000000004
2824,24,9,64.2
2825,2,10,129.9
2826,483,2,13.4
2827,61,8,49.22
2828,698,2,26.8
2829,12,10,71.9
2830,192,11,71.2
2831,359,9,52.2
2832,59,11,86.65
2833,139,4,52.3
2834,5,10,177.32
2835,83,19,148.52
2836,2,12,143.12
2837,103,11,56.45
2838,51,7,49.8
2839,61,8,180.3
2840,146,15,117.9
2841,11,2,9.0
2842,155,4,67.8
2843,17,9,55.300000000000004
2844,224,2,18.8
2845,91,4,31.900000000000002
2846,99,6,58.36
2847,38,13,167.0
2848,46,4,21.400000000000002
2849,37,11,133.35
2850,279,9,121.6
2851,106,29,277.40000000000003
2852,206,2,19.5
2853,409,5,26.9
2854,326,11,144.02
2855,53,23,215.0
2856,132,4,32.4
2857,257,15,177.8
2858,494,3,36.8
2859,323,4,46.900000000000006
2860,11,14,127.48
2861,29,12,70.55
2862,145,6,28.98
2863,542,7,113.0
2864,150,10,76.04
2865,57,8,86.8
2866,624,2,25.0
2867,8,15,98.22
2868,27,21,163.9
2869,21,14,117.1
2870,67,13,228.6
2871,11,8,77.25
2872,103,8,82.69
2873,119,16,105.0
2874,113,16,88.1
2875,60,7,57.400000000000006
2876,62,12,77.32000000000001
2877,265,6,75.5
2878,422,4,11.5
2879,3,13,100.7
2880,58,8,66.5
2881,578,4,28.65
2882,189,11,69.75
2883,80,10,85.7
2884,3,8,84.45
2885,42,14,116.0
2886,384,4,41.4
2887,348,4,31.1
2888,11,9,35.900000000000006
2889,345,2,11.100000000000001
2890,249,6,51.86
2891,182,5,54.15
2892,406,5,38.0
2893,19,11,101.10000000000001
2894,292,2,16.0
2895,139,3,36.300000000000004
2897,338,6,96.60000000000001
2898,526,7,19.700000000000003
2899,37,11,59.6
2900,264,12,72.72
2901,509,8,96.15
2902,137,7,76.69999999999999
2903,145,12,54.4
2904,105,10,65.8
2905,70,6,85.8
2906,176,11,94.35000000000001
2907,377,17,124.05
2908,291,8,53.2
2909,237,11,105.7
2910,27,15,95.8
2911,170,4,10.850000000000001
2912,337,11,61.79
2913,180,4,40.03
2914,31,9,67.10000000000001
2915,422,4,85.8
2916,201,15,99.39000000000001
2917,583,6,65.7
2918,20,21,252.6
2919,184,4,32.5
2920,81,11,60.3
2921,399,9,70.4
2922,5,6,46.7
2923,424,5,67.6
2924,42,11,63.16
2925,20,16,111.8
2926,53,7,34.15
2927,331,10,60.36
2928,100,9,164.0
2929,435,4,68.70000000000002
2930,283,14,82.5
2931,544,3,27.700000000000003
2932,286,17,88.5
2933,269,8,56.8
2934,109,9,58.5
2935,356,10,62.7
2936,206,5,58.39999999999999
2937,153,17,102.16
2938,189,7,88.79999999999998
2939,150,8,55.800000000000004
2940,54,11,74.2
2941,89,12,45.300000000000004
2942,333,12,79.35
2943,194,8,54.230000000000004
2944,333,14,135.3
2945,165,5,60.8
2946,57,18,162.74
2947,168,7,93.1
2948,195,10,80.24
2949,578,5,40.260000000000005
2950,82,15,125.34
2951,9,7,37.650000000000006
2952,36,15,149.36
2953,361,3,14.6
2954,209,7,29.500000000000004
2955,208,15,69.4
2956,29,11,60.8
2957,34,19,153.56
2958,200,10,76.4
2960,12,26,242.84
2961,45,20,153.36
2962,249,9,43.45
2963,583,4,13.2
2964,142,12,140.2
2965,572,6,59.45
2966,400,6,31.700000000000003
2967,328,6,38.65
2968,75,2,12.64
2969,23,8,73.7
2970,1,7,33.6
2971,338,7,91.62
2972,224,10,87.9
2973,383,12,81.6
2974,5,9,77.7
2975,68,13,89.4
2976,212,5,28.21
2977,45,12,71.5
2978,36,19,133.3
2979,144,10,76.85
2980,248,7,70.96000000000001
2981,28,9,43.800000000000004
2982,189,12,95.9
2983,111,4,66.0
2984,310,11,49.400000000000006
2985,216,6,21.5
2986,226,17,95.10000000000001
2987,624,2,20.6
2988,78,2,10.200000000000001
2989,335,12,84.7
2990,141,24,303.61
2991,318,12,111.78
2992,52,3,15.6
2993,240,15,296.96
2994,537,6,58.7
2995,316,5,35.59
2996,96,14,187.8
2997,1,16,144.87
2998,170,5,18.6
2999,150,8,76.3
3000,496,2,15.399999999999999
3001,7,4,25.2
3002,140,17,141.6
3003,602,6,46.040000000000006
3004,324,4,30.349999999999998
3005,172,11,99.10000000000001
3006,4,7,59.300000000000004
3007,394,4,10.700000000000001
3008,540,5,27.3
3009,139,14,78.1
3010,139,11,65.44
3011,192,11,45.7
3012,102,6,27.900000000000002
3013,132,13,82.3
3014,50,17,256.0
3015,82,10,79.3
3016,30,7,40.0
3017,94,6,70.80000000000001
3018,187,6,28.8
3019,12,5,31.4
3020,126,8,61.3
3021,335,10,58.300000000000004
3022,46,9,96.4
3023,156,9,68.80000000000001
3024,373,5,54.2
3025,73,11,131.0
3026,341,15,54.85
3027,107,9,74.89999999999999
3028,205,15,178.20000000000002
3029,214,6,89.36
3030,382,10,101.39999999999999
3031,13,15,187.8
3032,209,4,24.55
3033,462,8,75.0
3034,223,10,73.5
3035,32,13,74.9
3036,104,17,85.94
3037,311,5,21.1
3038,354,12,76.30000000000001
3039,33,10,40.95
3040,446,4,54.39999999999999
3041,107,14,123.49
3042,4,22,123.1
3043,360,2,41.4
3044,93,19,120.62
3045,280,11,143.14999999999998
3046,43,23,163.8
3047,115,5,28.3
3048,21,19,234.0
3049,329,4,82.9
3050,16,33,222.7
3051,32,15,105.6
3052,180,5,22.05
3053,6,9,82.2
3054,186,18,123.6
3055,135,7,59.400000000000006
3056,138,4,33.4
3057,533,5,35.1
3058,157,8,72.4
3059,383,9,86.53999999999999
3060,179,7,45.4
3061,26,8,42.35
3062,152,11,98.82
3063,3,10,78.2
3064,363,4,16.4
3065,368,7,46.95
3066,25,12,72.0
3067,34,10,118.08
3068,195,7,54.1
3069,266,6,30.8
3071,201,15,143.85
3072,206,17,144.65
3073,348,5,30.0
3074,262,5,40.14
3075,77,6,40.2
3076,23,4,45.7
3077,122,17,148.01000000000002
3078,121,5,27.299999999999997
3079,296,9,85.10000000000001
3080,684,2,7.8500000000000005
3081,464,15,128.03
3082,97,26,156.15
3083,468,10,92.95
3084,66,14,84.5
3085,173,4,36.2
3086,271,12,61.74
3087,369,6,18.400000000000002
3088,28,8,62.800000000000004
3089,75,11,94.5
3090,57,22,145.22
3092,7,6,39.0
3093,293,2,7.32
3094,86,17,105.45
3095,79,16,114.00000000000001
3096,131,7,48.3
3097,143,2,12.4
3098,118,4,11.4
3099,166,12,97.6
3100,222,12,95.10000000000001
3101,14,14,144.1
3102,27,8,139.22
3103,386,4,13.8
3104,210,18,92.14999999999999
3105,628,2,14.2
3106,599,8,75.53999999999999
3107,45,14,101.7
3108,646,4,13.850000000000001
3109,185,9,92.4
3110,526,6,58.400000000000006
3111,8,16,113.7
3112,226,8,48.2
3113,196,12,114.10000000000001
3115,428,16,185.54000000000002
3116,386,14,141.4
3117,92,12,95.5
3118,2,7,41.0
3119,186,17,196.8
3120,8,24,243.5
3122,61,24,117.42
3123,381,9,65.1
3124,266,3,5.699999999999999
3125,452,4,45.8
3126,394,2,8.5
3127,393,10,74.8
3128,123,17,129.8
3129,523,6,69.65
3130,243,6,17.5
3131,393,4,33.2
3132,124,10,75.4
3133,6,8,107.80000000000001
3134,207,2,9.4
3135,158,6,34.22
3136,612,2,7.9
3137,129,19,123.5
3138,256,13,89.9
3139,254,16,113.66
3140,126,12,100.13000000000001
3141,45,17,117.4
3142,486,11,42.8
3143,221,6,37.9
3144,137,13,132.52
3145,45,8,61.4
3146,552,4,21.799999999999997
3147,7,5,30.75
3148,278,11,153.16
3149,705,3,79.5
3150,507,6,38.59
3151,97,6,45.45
3152,37,4,31.500000000000004
3153,84,16,96.2
3154,192,11,84.12
3155,465,2,20.0
3156,151,6,51.0
3157,449,7,59.519999999999996
3158,453,9,80.4
3159,334,7,45.44
3160,239,10,118.26
3161,53,9,83.7
3162,208,2,2.6
3163,367,4,12.100000000000001
3164,92,21,203.76000000000002
3165,34,18,177.1
3166,247,14,131.8
3167,57,7,85.7
3168,15,12,67.0
3169,182,6,43.2
3170,28,12,137.4
3171,440,3,81.80000000000001
3172,305,7,31.0
3173,159,2,14.6
3174,325,4,11.8
3175,38,14,146.20000000000002
3176,152,13,100.1
3177,439,4,28.6
3178,23,12,47.1
3179,285,2,10.5
3180,73,36,251.45
3181,18,14,131.70000000000002
3182,77,14,162.9
3183,146,7,66.1
3184,41,14,85.2
3185,304,11,89.9
3186,36,10,132.8
3188,25,6,30.590000000000003
3189,38,17,117.03999999999999
3190,40,12,107.46000000000001
3191,1,5,44.09
3193,334,13,90.6
3194,242,14,145.8
3195,176,6,46.7
3196,57,5,30.439999999999998
3197,670,3,19.8
3198,191,5,51.00000000000001
3199,7,2,33.900000000000006
3200,274,8,116.90000000000002
3201,34,17,212.4
3202,47,7,56.4
3203,146,12,111.2
3204,237,11,113.62
3205,20,13,92.6
3206,79,12,115.91
3207,35,15,147.20000000000002
3208,41,14,73.0
3209,3,11,49.400000000000006
3210,8,8,75.9
3211,92,4,33.0
3212,257,4,45.9
3213,377,7,70.78999999999999
3214,9,15,104.8
3215,163,10,96.64
3216,322,4,12.0
3217,286,6,43.6
3218,568,5,36.1
3219,149,7,60.54
3220,54,12,60.7
3221,185,23,227.20000000000002
3222,148,10,68.22
3223,512,3,75.6
3224,292,10,112.76
3225,19,18,211.7
3226,432,8,104.2
3227,31,15,78.66
3228,339,8,97.8
3229,146,12,100.8
3230,351,2,19.6
3231,275,5,26.0
3232,13,16,128.45000000000002
3233,431,2,39.5
3234,137,2,17.1
3235,3,7,50.6
3236,180,10,79.2
3237,186,13,76.5
3238,546,8,24.0
3239,34,2,5.9
3240,364,4,11.4
3241,102,9,77.6
3242,222,8,33.1
3243,728,2,8.9
3244,41,6,27.900000000000002
3245,23,18,271.8
3246,126,22,221.4
3247,60,24,165.9
3248,195,21,205.44
3249,374,4,52.349999999999994
3250,263,5,42.1
3251,5,21,248.12
3252,131,12,60.0
3253,194,4,51.900000000000006
3254,73,10,73.92
3255,56,17,71.1
3256,154,9,65.3
3257,321,11,57.25
3258,225,13,130.34
3259,120,9,49.92
3260,29,8,80.2
3262,23,16,96.4
3263,532,7,47.3
3264,270,10,49.35
3265,22,7,55.5
3266,67,22,143.55
3267,347,9,50.2
3268,55,16,132.27
3269,85,5,26.1
3270,230,2,6.9
3271,4,7,72.19999999999999
3272,193,4,16.65
3273,96,9,81.4
3275,66,8,109.0
3276,184,15,151.8
3277,426,7,68.60000000000001
3278,397,4,38.2
3279,400,7,55.69
3280,171,6,77.8
3281,67,6,103.7
3282,192,11,86.83
3283,182,9,46.4
3284,42,16,130.2
3285,172,7,69.3
3286,8,4,21.6
3287,332,13,150.45
3288,249,6,25.4
3289,5,29,334.15000000000003
3290,216,2,10.9
3291,151,4,39.9
3292,109,6,136.2
3293,236,7,25.3
3294,181,13,127.05
3295,156,10,85.63000000000001
3296,136,14,119.50000000000001
3297,224,12,124.7
3298,219,10,122.69999999999999
3299,306,11,166.1
3300,86,11,117.94999999999999
3301,250,2,7.1
3302,223,6,47.7
3303,340,8,44.400000000000006
3304,31,10,80.30000000000001
3305,190,6,37.34
3306,2,16,90.8
3307,86,11,48.5
3308,69,28,163.94
3309,64,16,71.67
3310,231,11,56.550000000000004
3311,183,8,84.66
3312,7,9,95.05000000000001
3313,267,6,29.4
3314,505,2,21.6
3315,42,13,90.5
3316,358,7,62.160000000000004
3317,185,7,33.71
3318,163,4,43.8
3319,44,5,34.0
3320,628,6,73.4
3321,6,14,91.8
3322,81,16,149.8
3323,22,11,96.36
3324,129,11,64.5
3325,32,13,132.62
3326,245,4,31.500000000000004
3327,241,14,78.53
3328,77,11,120.12
3329,313,13,112.6
3330,158,5,54.0
3331,159,8,43.24
3332,334,5,33.55
3333,312,4,11.600000000000001
3334,242,9,91.0
3335,482,4,37.5
3336,280,2,22.2
3337,204,16,141.86
3338,136,9,69.10000000000001
3339,23,9,74.0
3341,16,5,43.52
3342,192,8,104.5
3343,235,10,94.44000000000001
3344,274,12,45.2
3345,92,2,5.2
3346,234,6,169.7
3347,209,14,135.8
3348,26,14,108.65
3349,537,8,97.8
3350,587,4,11.9
3351,78,6,45.2
3352,53,7,38.2
3353,139,19,113.35
3354,32,15,127.60000000000001
3355,29,6,103.80000000000001
3356,222,16,117.3
3357,206,9,81.7
3358,277,18,165.9
3359,524,5,41.82
3360,47,11,123.4
3361,162,22,240.5
3362,579,2,4.6
3363,2,13,84.5
3364,108,12,110.4
3365,67,15,86.75
3366,377,4,28.1
3367,672,2,32.800000000000004
3368,297,6,76.65
3369,2,15,161.84
3370,49,11,112.1
3372,674,2,23.8
3373,7,4,8.8
3374,126,5,64.2
3375,249,7,81.5
3376,723,3,10.3
3377,489,2,14.4
3378,352,9,52.2
3379,344,5,61.3
3380,50,18,174.3
3381,391,4,45.5
3382,413,10,59.75
3383,413,6,23.1
3384,32,10,71.35
3385,186,11,78.33
3386,331,8,27.400000000000002
3387,235,7,52.120000000000005
3389,136,13,148.4
3390,30,11,108.03999999999999
3391,10,2,28.0
3393,54,20,151.14000000000001
3394,18,7,64.66
3395,134,4,17.9
3396,231,13,116.8
3397,314,6,48.900000000000006
3398,295,11,154.3
3399,165,15,69.26
3400,302,12,72.2
3401,94,10,53.400000000000006
3402,137,21,181.52
3403,624,7,35.92
3404,24,4,27.94
3405,262,18,188.1
3406,69,6,51.2
3407,281,9,75.5
3408,56,6,16.700000000000003
3409,20,13,102.2
3410,63,14,142.24
3411,195,8,52.3
3412,339,4,7.800000000000001
3413,99,10,50.1
3414,69,13,135.0
3415,218,6,59.0
3416,46,14,203.8
3417,16,8,34.3
3418,293,4,12.4
3419,26,10,81.55
3420,307,6,60.7
3421,233,11,102.75
3422,522,2,9.8
3423,212,8,44.199999999999996
3424,137,11,61.54
3425,381,6,32.3
3426,67,8,50.800000000000004
3427,247,9,136.70000000000002
3428,290,8,71.0
3429,185,18,171.52
3430,259,16,86.8
3431,518,2,6.6000000000000005
3432,271,4,24.5
3433,91,7,94.9
3434,204,5,23.520000000000003
3435,418,10,114.6
3436,279,2,11.4
3437,332,14,167.22
3438,4,16,147.35
3439,128,11,74.9
3440,10,6,63.9
3441,263,6,38.300000000000004
3442,47,13,176.3
